year,Chadiza,Chasefu,Chibombo,Chikankanta,Chilanga,Chipangali,Chipata,Chirundu,Chisamba,Chitambo,Choma,Chongwe,Gwembe,Itezhi tezhi,Kabwe,Kafue,Kalabo,Kalomo,Kaoma,Kapiri Mposhi,Kasenengwa,Katete,Kazungula,Lavushimanda,Limulunga,Livingstone,Luampa,Luangwa,Luano,Lukulu,Lumezi,Lundazi,Lusaka,Lusangazi,Mambwe,Mazabuka,Mitete,Mkushi,Mongu,Monze,Mpongwe,Mulobezi,Mumbwa,Mwandi,Nalolo,Namwala,Ngabwe,Nkeyema,Nyimba,Pemba,Petauke,Rufunsa,Senanga,Serenje,Sesheke,Shangombo,Shibuyunji,Siavonga,Sikongo,Sinazongwe,Sinda,Sioma,Vubwi,Zimba,Average
1984,0,0,0,0,0,0,438.6132507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.1363831,0,0,0,0,0,0,0,282.9898376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583.644165,0,
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.270874,0,281.5739441,0,0,0,0,0,0,305.2763672,0,0,0,630.0471191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.1253815,0,0,0,0,0,0,0,0,0,0,316.6646118,0,0,0,0,0,294.9707336,0,339.7559814,
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.1679993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.2426453,0,0,0,0,0,
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.4725037,0,0,0,0,0,0,0,0,0,0,0,208.3615875,0,0,0,0,0,0,0,0,0,0,516.7496948,0,0,0,432.6813354,0,0,0,0,0,0,0,0,
1988,0,0,372.7529297,0,0,0,0,0,0,0,0,0,0,0,0,0,194.4573975,0,0,0,0,0,0,0,285.7661743,0,0,0,0,0,0,0,0,0,0,0,0,0,322.2498169,0,0,0,0,0,0,0,356.8478088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.4065552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1990,426.2730713,234.8763885,0,0,0,162.7785034,0,0,0,277.3529968,0,264.8421936,354.8543396,619.9799194,0,0,822.2460327,0,0,0,387.9457397,0,358.5122986,807.2805786,560.7828979,0,483.3315125,0,0,0,403.3289795,0,0,0,199.4542084,396.4025879,458.1578979,0,819.0030518,574.4243774,361.5602417,530.9780273,514.9178467,390.2391968,805.319458,604.2946167,414.6072693,0,0,0,0,0,712.1375122,247.2597046,600.2423096,590.2493896,0,0,578.531189,0,0,467.9455261,292.1893311,0,
1991,0,0,0,0,0,0,0,0,0,0,865.5197144,0,329.782135,778.585144,321.1298218,0,0,478.36026,410.9680481,0,0,0,449.666687,259.7241516,0,0,402.1812134,0,0,532.7086182,0,0,0,0,0,554.604248,0,0,0,1046.495483,0,427.2392883,678.8166504,0,0,541.3719482,0,410.7554321,0,550.4431763,0,0,0,0,0,0,421.0103455,0,0,270.7806396,0,0,0,510.7653809,
1992,666.9767456,423.9438171,0,0,0,707.7731323,599.0585938,0,0,392.4032593,787.9769287,0,0,442.6392517,0,0,0,624.8917236,0,0,675.2843628,675.1726685,993.7242432,0,0,681.4520264,0,837.71521,0,0,557.911377,440.1508179,0,0,851.5776978,0,0,188.3622284,0,754.1584473,0,0,0,621.925354,0,621.0974731,294.7759094,0,735.3621826,658.065918,0,0,0,387.2914734,574.3839722,0,0,0,0,1028.566406,604.6227417,0,504.508728,684.2800293,
1993,0,0,0,0,0,248.780365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.7373962,0,0,0,0,0,0,0,0,0,205.4055023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1994,640.2839966,1051.955322,1197.787476,469.8274841,694.262085,887.5167847,466.936554,528.3482056,974.9540405,847.0925293,509.1775818,918.6068115,0,0,842.6512451,473.1070251,0,482.0391235,628.6119385,926.5513306,835.2303467,527.2235107,0,627.3287354,378.7427673,0,372.6641235,0,925.0426025,625.8360596,1139.006226,1181.876587,962.9015503,751.1454468,638.2594604,395.9005737,0,907.3648071,328.2697754,524.7199097,521.9470825,0,318.9279175,0,0,0,1240.536011,468.6366577,504.3652039,408.7508545,734.3252563,929.0517578,407.9657898,828.8555908,0,0,1021.788391,402.6984863,0,342.6300659,750.3659058,510.19104,854.9817505,506.71875,
1995,375.6255493,0,0,0,0,0,882.4512329,0,0,310.8197327,680.177124,542.6869507,593.4758301,404.5546265,0,577.6881714,131.1688995,510.4503174,501.0644836,525.8953247,0,265.8928528,0,567.8557129,0,322.9109497,0,0,426.6140137,438.5271912,0,0,0,663.447876,0,0,318.1115417,468.322113,0,471.8366089,377.4923401,0,415.1473083,323.686676,0,0,344.5432434,505.5329285,325.8517151,606.1502686,564.7203369,0,310.9194946,332.4507751,366.776825,0,0,0,176.0666046,0,706.8322754,0,495.2536011,0,
1996,0,0,0,0,0,0,0,0,386.8879089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574.1616821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485.7513428,0,0,0,0,0,0,0,0,0,0,262.7191467,0,0,
1997,0,513.6808472,0,0,0,0,0,414.8396301,0,323.8559875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.5883484,0,0,0,614.1008911,0,607.0249634,0,0,0,0,0,241.7460327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379.9142761,0,327.4671936,0,0,0,0,0,295.5506287,0,0,0,0,0,0,0,0,0,0,0,321.3388977,0,0,0,0,345.1396179,0,0,268.7174988,0,0,0,0,0,0,0,0,0,0,0,0,0,327.0441895,0,0,0,0,0,
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.6887207,0,0,0,0,0,0,0,0,0,0,0,0,0,159.9966431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2000,0,730.1227417,0,0,0,0,0,0,0,340.0572815,0,0,0,0,472.177124,0,0,0,0,240.0472412,0,0,0,0,0,0,0,0,270.8800659,0,369.5443726,751.6884766,0,0,0,0,0,297.8587646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.212326,0,0,0,0,0,0,0,0,0,0,
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2002,0,0,680.7718506,0,603.5126343,411.7792053,0,762.3157349,0,222.0575562,0,431.4803772,0,385.6163025,0,0,811.4678345,781.1036987,479.1798401,318.4049377,443.1239624,372.5508728,461.323822,0,727.0528564,787.1243286,465.2480469,578.6685181,563.6522827,921.9555664,540.0462646,173.8830261,561.7800903,0,322.3934631,666.7247314,681.5521851,0,609.8780518,0,0,401.2269287,804.3496094,398.0872498,579.1265869,606.742981,421.4074707,428.8334045,603.2738037,0,0,799.0101318,546.906311,209.9100952,0,501.0654297,547.3654175,0,829.8762207,0,327.490509,445.7283325,0,590.9918823,
2003,338.7402039,319.9327393,0,665.2219238,0,265.208313,0,468.6926575,0,0,0,291.7348938,510.122467,0,0,670.9626465,0,0,0,0,264.3634338,326.1245728,0,0,0,0,0,0,0,0,0,100.3430252,0,0,220.239624,0,0,0,0,0,0,0,0,0,0,0,0,0,326.9142761,0,0,0,0,0,0,0,0,342.9002991,0,329.0872803,0,0,0,0,
2004,0,0,0,248.2872314,0,0,420.3090515,0,393.127533,0,0,0,0,0,0,0,161.3347778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.6539307,0,0,0,228.3972168,0,0,0,0,364.4371948,0,0,0,0,0,351.4388123,0,0,0,0,0,0,337.9216919,0,0,0,0,0,0,0,0,0,
2005,404.6251526,315.4705505,0,397.163269,342.5220032,0,627.6275024,804.3682251,340.6078491,0,426.3662109,0,0,312.7944336,438.3245544,0,0,0,285.1381226,0,449.6628723,215.4358673,418.8630676,336.7607117,253.8941956,0,587.9177856,907.522583,0,0,347.9913025,0,329.1350098,521.9412231,253.8442841,0,295.3490906,0,429.1321716,0,370.1515198,738.6397095,426.596283,552.0151367,518.7359009,0,0,548.6057739,212.5295105,0,383.5100708,431.4277344,278.8575439,200.7020111,689.2616577,228.8823547,330.6620178,577.0376587,0,0,339.4654846,0,389.490387,0,
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2007,0,0,391.0875549,0,0,0,0,0,486.2871094,0,0,0,0,0,311.8908081,0,0,0,0,327.2383118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.0633392,0,0,0,0,0,359.8787537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.0079651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.7971802,0,0,0,0,0,0,0,0,0,0,0,0,0,
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,0,0,0,0,0,0,0,0,347.2951965,0,0,0,0,0,379.8541565,0,0,0,0,0,0,0,0,0,0,0,0,903.703064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.9755554,0,0,0,0,0,0,430.9645081,0,0,0,0,0,0,0,0,
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.8026733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670.9691162,0,0,
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.0593262,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015,889.7824707,778.6546021,614.5740967,429.4096375,472.561554,762.2338257,513.055603,474.4344788,477.6358643,926.0955811,0,852.7302246,806.4071655,0,751.5258789,857.5016479,0,0,0,810.0836182,885.3292847,895.6758423,381.7411499,637.7957764,0,343.6903381,349.1279907,466.865387,861.9898682,0,787.1167603,987.8963623,468.2705994,771.7301025,844.6047363,438.4007874,0,828.0427856,338.3760986,0,0,0,0,439.0496521,544.793396,0,0,0,851.8258667,421.7986145,814.1929932,480.0437622,761.0178833,910.1889038,320.5049438,540.2252197,797.0430908,381.3338623,214.4185791,460.4547729,734.8294067,767.1286621,0,511.8386536,
2016,0,0,466.3838196,544.8411865,555.9638672,0,0,0,0,0,551.2334595,0,795.8286133,0,0,437.1524963,0,0,0,0,0,0,0,0,0,0,0,376.665802,0,0,0,0,0,0,252.354248,485.0932922,0,0,0,570.0932007,0,0,0,0,0,554.5504761,0,0,0,570.821167,0,0,0,0,0,0,537.7565918,624.1472778,0,582.4884033,0,0,0,0,
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018,0,0,0,0,466.3326416,0,0,0,0,0,0,0,0,0,0,383.8493347,0,357.9554443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.568573,0,0,0,0,0,0,0,0,0,0,0,0,459.9645996,0,0,0,0,0,350.3468628,0,0,0,0,0,338.5747986,354.6080017,0,0,0,0,0,
2019,0,0,521.0278931,456.2869263,414.2348938,0,0,469.8013,0,0,1031.878784,303.3344727,924.3598633,1097.848145,0,370.6444092,1073.06311,1120.015991,781.9011841,245.106842,0,0,1120.870239,0,1005.949524,1025.619751,966.9614258,412.3619995,374.6455994,796.4227295,0,0,528.6691284,364.9391785,0,548.3655396,936.1320801,207.3913727,1091.158813,868.3598633,217.6748199,1154.755493,321.9381409,1127.037964,1376.897217,573.0147705,0,740.2417603,0,1226.49231,607.1824341,382.4434814,1773.87854,0,1526.337891,1257.526001,811.7185669,855.9293823,1178.936035,755.0474854,0,1652.176025,0,1115.304688,
2020,388.68396,0,392.2695313,547.4832764,650.2052002,0,0,859.3223877,557.9862061,0,538.5606079,420.0656433,689.2606201,538.6939697,312.7058716,554.8911743,0,443.6792908,0,262.9244385,0,308.3074951,463.4587402,0,274.8516541,438.6846924,441.8287048,440.1338196,333.8065796,0,0,0,313.6514587,270.1704407,0,660.8010864,0,0,327.4508972,792.078125,402.4324951,873.5255737,421.7478027,854.7045898,171.9915314,696.8444824,541.0708008,0,0,660.0296631,0,607.1618652,465.1968079,0,727.9075317,0,309.6182556,849.9551392,0,331.0478516,526.9656372,0,341.8993835,798.664978,
2021,0,0,0,0,0,330.039093,527.2683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.2477417,0,703.0125732,0,
AVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average of District Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step 1: Calculate Average of rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step 2: Calculate average of each column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step 2: Pick the max value of each column to approximate Value at Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step 3: Price Insurance: premium at 8% cost of capital (Premium = Expected Payout + [ Cost of Capital * (Value at Risk Đ Expected Payout)]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step 4: calculate the Average of the prices (not including the price of the averages),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,